Common name,Scientific name,Expansion,Color,PowerCategory,Power text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener,Caprimulgiform Specialist,Small Clutch Specialist,Endangered Species Protector,Beak Pointing Left,Beak Pointing Right,Note,id,additionalRulings/0/text,additionalRulings/0/source,additionalRulings/1/text,additionalRulings/1/source,rulings/0/text,rulings/0/source,additionalRulings/2/text,additionalRulings/2/source,additionalRulings/3/text,additionalRulings/3/source,additionalRulings/4/text,additionalRulings/4/source,rulings/1/text,rulings/1/source,rulings/2/text,rulings/2/source,additionalRulings/5/text,additionalRulings/5/source,additionalRulings/6/text,additionalRulings/6/source,rulings/3/text,rulings/3/source
Abbott's Booby,Papasula abbotti,oceania,White,,"Draw 3 bonus cards, then discard 2. You may discard bonus cards you did not draw this turn.",,,X,5,Platform,1,190,,,X,,,2,,,,,,,2,,,X,,,,,,,,,X,,,X,,,,X,,,,X,,,X,X,X,,"This temporarily adds 3 bonus cards to your hand of bonus cards, then from that hand you discard any 2 bonus cards.",263,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
Acorn Woodpecker,Melanerpes formicivorus,originalcore,Brown,Caching Food,Gain 1 [seed] from the birdfeeder (if available). You may cache it on this card.,,,,5,Cavity,4,46,X,,,,3,,,,,,,,3,,,,,,,,X,X,,,,,X,,X,,,,,,,,,,,,X,,"The birds with these powers are known for caching extra food and saving it for later. As noted on these cards, you can cache exactly 1 food token when their power is activated by placing it on a bird card. Once a food token is cached on a bird card, you cannot spend it. Each token on the card at the end of the game is worth 1 point. If the same dice are showing in the birdfeeder, you may reroll to see if you meet the condition of the bird. If you run out of food tokens, you can cache cards instead.",2,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
American Avocet,Recurvirostra americana,originalcore,Pink,Egg-laying,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [ground] nest.",,,,6,Ground,2,79,,,X,2,1,,,,,,,,3,,X,,,,,,X,X,X,,,,,X,,,,,,,,X,,,X,,X,,"These birds are all nest parasites in the wild: they lay eggs in other birds’ nests. Cowbirds don’t even build their own nests. <br>When another player uses the [grassland] action to lay eggs, you may lay 1 egg. You may do this only once between your turns, no matter how many other players lay eggs. The cowbird can lay eggs on star nests.",3,You may use a pink power during another player's turn after your last turn of the game.,https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235,"You may activate each <i>""once between turns""</i> power on a bird on your player mat once between each of your turns.",https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551,You may not use this bird's power to lay an [egg] on another player's bird.,https://www.boardgamegeek.com/thread/2146296/article/33747572#33747572,You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).,https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484,"If a pink power is triggered by a player using the <i>""gain food""</i>, <i>""lay eggs""</i>, or <i>""draw bird cards""</i> action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.",https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,
American Bittern,Botaurus lentiginosus,originalcore,Brown,Card-drawing,Player(s) with the fewest [wetland] birds: draw 1 [card].,,,,7,Platform,2,107,,,X,1,,1,,1,,,,,3,,X,,,,,,,X,,,X,,,X,,,,X,,X,,X,,,X,,,X,"If players are tied for the fewest birds currently in the wetland habitat, all draw a card, starting with you and proceeding clockwise. All may draw from the deck or the face-up cards.",4,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
American Coot,Fulica americana,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,3,Platform,5,61,,,X,,1,,,,,1,,,2,,X,,,X,,X,X,,,,,,,,,X,,X,,,,X,,,,,,X,"These birds all allow you to tuck a card from your hand for a point, then gain some additional benefit (lay an egg, draw a card, or gain a food). You can only gain the benefit if you first tuck a card from your hand.",5,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
American Crow,Corvus brachyrhynchos,originalcore,Brown,Food from Supply,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,,,,4,Platform,2,99,X,X,X,,,,,,,1,,,1,,X,,,,X,,,,,,,,,X,,X,,X,,,,,,,X,,,X,These birds are all known for eating eggs from other birds’ nests. You must have laid an egg on another bird before you can use these powers. Discard the egg to the supply.,6,"<i>""Discarding""</i> food while resolving a bird power counts as <i>""spending""</i>.",https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,,,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,
American Goldfinch,Spinus tristis,originalcore,White,Food from Supply,Gain 3 [seed] from the supply.,,,,3,Bowl,3,23,,X,,,2,,,,,,,,2,,X,,X,X,,,X,,,,,,,,,,X,,X,,,,X,,,,,X,,7,You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.,https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,
American Kestrel,Falco sparverius,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [rodent], gain 1 [rodent] and cache it on this card.",X,,,5,Cavity,3,56,,X,,1,,,,1,,,,,2,,X,,,,,,,,,X,,,,,X,,,,X,X,,,,,,,X,,"Birds that eat rodents or fish roll all dice that are not in the birdfeeder. (Note that you will never roll more than 4 dice, because when all 5 dice are out of the birdfeeder it must reset immediately.) Roll dice on the table; they do not go back into the birdfeeder. If one or more dice show the specified type, take at most 1 token of that type from the supply and cache it on your card (see “Caching food”). Each token on a bird card is worth 1 point at the end of the game.",8,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,,,,,,,,,,,,,,,,,,,,
American Oystercatcher,Haematopus palliatus,originalcore,White,Card-drawing,"Draw [card] equal to the number of players +1. Starting with you and proceeding clockwise, each player selects 1 of those cards and places it in their hand. You keep the extra card.",,,,5,Ground,2,81,,,X,2,,,,,,,,,2,,X,,,,,,,,X,,,X,,X,,,,,,,,X,,,X,,,X,"Draw the cards from the deck so that you have a set with one more card than there are players. Each player chooses one card from this set, starting with you and passing to the left. When everyone has chosen a card, you keep the extra card.",9,"If information printed on a card conflicts with the card's appendix entry, the information on the card takes precedence. (See <strong applink=""/card/9"">American Oystercatcher</strong>, <strong applink=""/card/27"">Belted Kingfisher</strong>, and <strong applink=""/card/104"">Eastern Kingbird</strong>.)",https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,"When using this bird's power in a game against the Automa, draw 3 [card], keep 2 of them, and discard the other.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-31504,,,,,,,"When using this bird's power, you may take the drawn cards from the deck and/or from the bird tray, despite this bird's entry in the Appendix.",https://www.boardgamegeek.com/thread/2449964/article/35131047#35131047,"When using this bird's power, you must draw all X+1 cards as instructed, since some of them are allocated to other players.",https://www.facebook.com/groups/wingspanboardgame/permalink/649739262396346/,,,,,,
American Redstart,Setophaga ruticilla,swiftstart,Brown,,Gain 1 [wild] from the birdfeeder.,,,,4,Bowl,2,20,X,,,1,,,1,,,,,,2,,X,,X,,,,,,,,,,X,,,,X,,,,X,,X,,X,,,X,,10,Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.,https://www.stonemaiergames.com/games/wingspan/rules/,"Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.",https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710,"This bird's power lets you take 1 food from the birdfeeder, as if [wild] were replaced by [die] in the power text.",https://www.facebook.com/groups/wingspanboardgame/permalink/447732882596986/?comment_id=447733369263604,,,,,,,"This bird does not count toward the <strong applink=""/card/1000"">Anatomist</strong> bonus card.",https://www.facebook.com/groups/wingspanboardgame/permalink/453193798717561/?comment_id=453409608695980&reply_comment_id=455637778473163,,,,,,,,
